Timestamp,FP1,FP2
382480,44.194458,43.662201
382482,44.025928,43.401352
382484,44.212788,43.772415
382485,44.425884,43.939339
382487,44.659969,44.13649
382489,45.233379,44.615864
382490,45.949196,45.32098
382492,46.391853,46.142151
382494,46.551491,46.346531
382496,45.968647,46.122036
382497,45.307972,45.683495
382499,44.972107,45.073742
382501,44.638031,44.52058
382502,44.950493,44.335239
382504,45.135029,44.315117
382506,45.410755,44.556171
382507,45.888447,45.264179
382509,46.076115,45.700607
382510,46.805901,46.242329
