Timestamp,FP1,FP2
382261,46.477718,47.596523
382262,46.361176,47.315243
382264,46.589573,47.218311
382266,46.771339,47.139832
382267,47.044823,47.269638
382269,47.069115,47.308022
382271,47.603687,47.789349
382272,48.03035,48.302433
382274,47.854607,48.453854
382276,47.326012,48.444988
382277,45.999096,47.017715
382279,45.259296,46.19762
382281,44.731117,45.540684
382282,44.307724,44.885254
382284,44.032665,44.553596
382286,44.134308,44.416424
382287,44.214729,44.821888
382289,44.084648,44.75827
382291,44.431278,45.158054
