Timestamp,FP1,FP2
382324,45.715004,45.000744
382325,45.651901,44.752338
382327,45.987568,45.068817
382329,46.577705,45.579113
382330,47.113346,45.92189
382332,47.282833,46.259674
382333,47.610992,46.980515
382335,47.420975,47.040115
382337,47.009987,46.57077
382338,46.55127,46.258911
382340,46.054382,45.556957
382342,45.849522,44.930027
382343,45.491199,44.427635
382345,45.526207,44.34742
382347,45.617813,44.604919
382348,45.561157,44.551968
382350,45.966496,44.895775
382352,46.225304,45.556953
382353,46.173367,45.891403
