Timestamp,FP1,FP2
382386,45.979446,46.275181
382388,45.9576,46.575863
382390,46.068222,46.428394
382391,46.026772,46.567543
382393,45.928181,46.871445
382394,45.78389,46.791058
382396,45.538532,46.403271
382398,44.9543,45.963127
382399,45.066643,45.803654
382401,45.155609,45.804192
382403,45.61293,45.932724
382404,45.91333,46.099133
382406,46.023689,46.102303
382408,45.788498,46.039406
382409,45.986504,46.052685
382411,46.208485,46.44944
382413,46.320614,46.765884
382414,46.344875,46.631023
382416,46.169823,46.199665
