Timestamp,FP1,FP2
382544,44.867149,45.209167
382546,45.110085,45.249348
382547,45.49704,45.603134
382549,45.74115,46.01424
382551,46.000015,46.535706
382552,46.270676,46.951904
382554,45.84116,46.638794
382556,45.690193,46.387398
382557,45.374992,45.798313
382559,44.7994,45.4552
382561,44.467094,44.986294
382562,44.58744,44.674816
382564,44.682816,44.682804
382566,45.016254,44.881832
382567,45.282078,44.911125
382569,45.75185,45.256207
382571,46.191223,45.724865
382572,46.154705,46.098839
382574,46.25359,46.203541
