Timestamp,FP1,FP2
382292,44.901199,45.670475
382294,45.082664,45.821419
382296,45.033394,45.554188
382297,44.670532,45.016964
382299,44.379379,44.586327
382301,44.46814,44.176449
382302,44.796291,44.42828
382304,44.606319,44.112762
382305,44.840523,44.375565
382307,45.091484,44.778431
382309,45.033291,45.035282
382310,45.243877,45.69141
382312,45.862991,46.537895
382314,45.970261,46.698009
382315,46.184166,46.760643
382317,46.031799,46.487259
382319,46.038017,46.267643
382320,45.848541,45.897518
382322,46.599197,46.116608
