Timestamp,FP1,FP2
382512,46.937164,46.932777
382514,46.589657,47.03257
382516,46.633297,47.240475
382517,45.5061,45.986626
382519,44.861561,44.982727
382520,44.538612,44.565845
382522,44.472916,44.425014
382524,44.419476,44.504997
382526,44.698387,44.632599
382527,44.985107,44.927307
382529,45.213562,45.226662
382531,45.84697,45.981297
382532,46.35273,46.84206
382534,46.304802,47.207119
382536,46.394554,47.304661
382537,46.013855,46.930172
382539,45.450367,46.436142
382541,44.805183,45.717484
382542,44.804268,45.399738
