Timestamp,FP1,FP2
382418,45.706326,45.337608
382419,45.334648,44.840656
382421,44.971924,44.313217
382423,45.067928,44.277481
382424,45.466373,44.248009
382426,45.913204,44.675114
382428,46.398735,45.2094
382429,46.721687,45.700394
382431,47.172615,46.221252
382433,47.209831,46.701485
382434,47.754734,47.794304
382436,48.189655,48.280457
382437,46.859341,47.055634
382439,46.116806,45.881401
382441,45.134861,44.683155
382442,44.671028,44.175327
382444,44.686161,44.155277
382446,45.277958,44.589924
382447,46.008484,45.130245
