Timestamp,FP1,FP2
382449,46.591927,45.690575
382451,47.057701,46.395924
382452,47.042282,46.830196
382454,46.83548,46.983112
382456,46.540096,46.975475
382457,45.915825,46.452351
382459,45.415543,45.645905
382461,44.949936,45.128918
382462,44.576588,44.843483
382464,44.599598,44.807793
382466,44.746128,44.842854
382467,44.991467,45.257065
382469,45.509365,45.458473
382471,45.793713,45.554165
382472,46.084766,45.952347
382474,46.252151,46.205433
382475,45.675514,45.890881
382477,45.148827,45.057758
382479,44.726616,44.390427
